timestamp,eye_ar,head_direction,observation_complete
1770831335.6539724,0.143,LEFT,0
1770831335.7143974,0.215,FORWARD,0
1770831335.7631416,0.158,FORWARD,0
1770831335.8100505,0.159,FORWARD,0
1770831335.8704562,0.116,FORWARD,0
1770831335.9076185,0.171,FORWARD,0
1770831335.9655337,0.163,FORWARD,0
1770831336.0026386,0.138,FORWARD,0
1770831336.0522506,0.167,FORWARD,0
1770831336.1035492,0.125,FORWARD,0
1770831336.1583827,0.146,FORWARD,0
1770831336.1985295,0.121,FORWARD,0
1770831336.247216,0.187,FORWARD,0
1770831336.2865658,0.131,FORWARD,0
1770831336.3292644,0.136,FORWARD,0
1770831336.3705509,0.159,FORWARD,0
1770831336.4307928,0.12,FORWARD,0
1770831336.4880815,0.107,FORWARD,0
1770831336.5312788,0.135,FORWARD,0
1770831336.5710616,0.128,FORWARD,0
1770831336.6262894,0.146,FORWARD,0
1770831336.6612654,0.113,FORWARD,0
1770831336.7061198,0.134,FORWARD,0
1770831336.7566254,0.125,FORWARD,0
1770831336.811672,0.093,FORWARD,0
1770831336.8443916,0.084,FORWARD,0
1770831336.8909607,0.103,FORWARD,0
1770831336.9409058,0.058,FORWARD,0
1770831336.992522,0.261,FORWARD,0
1770831337.0285106,0.093,FORWARD,0
1770831337.0776618,0.146,FORWARD,0
1770831337.1275594,0.109,FORWARD,0
1770831337.1667857,0.135,FORWARD,0
1770831337.2107003,0.13,FORWARD,0
1770831337.2758157,0.171,FORWARD,0
1770831337.3155322,0.137,FORWARD,0
1770831337.3687425,0.145,FORWARD,0
1770831337.418852,0.194,FORWARD,0
1770831337.461141,0.18,FORWARD,0
1770831337.51393,0.183,FORWARD,0
1770831337.5516186,0.228,FORWARD,0
1770831337.5986867,0.208,FORWARD,0
1770831337.6551294,0.186,FORWARD,0
1770831337.694261,0.198,FORWARD,0
1770831337.7416384,0.257,FORWARD,0
1770831337.7908945,0.189,FORWARD,0
1770831337.8258965,0.241,FORWARD,0
1770831337.8818314,0.213,FORWARD,0
1770831337.922771,0.255,FORWARD,0
1770831337.970767,0.245,FORWARD,0
1770831338.0169384,0.222,FORWARD,0
1770831338.061628,0.093,FORWARD,0
1770831338.1116917,0.101,FORWARD,0
1770831338.1590214,0.129,FORWARD,0
1770831338.196611,0.192,FORWARD,0
1770831338.2496252,0.17,FORWARD,0
1770831338.2914877,0.151,FORWARD,0
1770831338.3380046,0.151,FORWARD,0
1770831338.397447,0.182,FORWARD,0
1770831338.4372919,0.166,FORWARD,0
1770831338.4788175,0.136,FORWARD,0
1770831338.5273995,0.128,FORWARD,0
1770831338.5726311,0.163,FORWARD,0
1770831338.61786,0.169,FORWARD,0
1770831338.6606545,0.125,FORWARD,0
1770831338.7031803,0.138,FORWARD,0
1770831338.7475502,0.129,FORWARD,0
1770831338.7893531,0.143,FORWARD,0
1770831338.832682,0.183,FORWARD,0
1770831338.8801749,0.205,FORWARD,0
1770831338.9283547,0.162,FORWARD,0
1770831338.973569,0.104,FORWARD,0
1770831339.0211596,0.057,FORWARD,0
1770831339.0630734,0.148,FORWARD,0
1770831339.1078882,0.087,FORWARD,0
